simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0211054	0	0
30	1226	89	0	12.8422	0	0
60	1238	12	0	19.6248	0	0
90	1252	14	0	23.808	0	0
120	1269	17	0	15.299	0	0
150	1286	17	0	15.7466	0	0
180	1312	26	0	15.6043	0	0
210	1343	31	0	16.1133	0	0
240	1378	35	0	25.9405	0	0
270	1413	35	0	16.2676	0	0
300	1464	51	0	16.6179	0	0
330	1507	43	0	17.5152	0	0
360	1552	45	0	17.393	0	0
390	1612	61	1	18.1867	0	0
420	1689	79	2	18.5713	0	0
450	1765	78	2	19.497	0	0
480	1862	97	0	20.6636	0	0
510	1962	105	5	21.2894	0	0
540	2066	105	1	23.1328	0	0
570	2126	67	7	23.4684	0	0
600	2180	59	5	24.1736	0	0
630	2243	66	3	24.7588	0	0
660	2345	104	2	25.5553	0	0
690	2396	52	1	26.4859	0	0
720	2418	25	3	26.7151	0	0
750	2450	34	2	26.8744	0	0
780	2473	28	5	27.0305	0	0
810	2518	47	2	27.165	0	0
840	2561	49	6	27.7778	0	0
870	2613	60	8	28.5847	0	0
900	2676	70	7	29.0102	0	0
930	2756	82	2	29.7622	0	0
960	2846	95	5	30.4734	0	0
990	2926	85	5	31.5596	0	0
1020	3027	111	10	32.4451	0	0
1050	3163	142	6	33.2803	0	0
1080	3304	150	9	35.154	0	0
1110	3448	153	9	36.7522	0	0
1140	3637	194	5	38.6666	0	0
1170	3826	196	7	40.5558	0	0
1200	3982	163	7	42.6758	0	0
1230	4104	124	2	43.8386	0	0
1260	4226	128	6	45.2207	0	0
1290	4375	154	5	51.6139	0	0
1320	4513	141	3	49.5891	0	0
1350	4579	71	5	49.9659	0	0
1380	4633	57	3	49.9293	0	0
1410	4680	50	3	50.3343	0	0
1440	4763	87	4	51.674	0	0
1440.02	4767	5	1	2.40447	0	0
