simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	948	948	0	0.0251331	18999	274.461
30	1188	240	0	47.8713	0.000941025	451.217
60	1206	18	0	43.4224	4.60539e-11	451.24
90	1220	14	0	42.4652	2.41236e-18	451.276
120	1237	17	0	42.7375	1.54404e-25	451.289
150	1250	13	0	41.8274	1.31285e-32	451.289
180	1268	18	0	40.5815	1.36017e-39	451.289
210	1287	19	0	40.1629	1.60199e-46	451.289
240	1303	16	0	39.6115	1.93429e-53	451.29
270	1326	23	0	39.9287	2.35362e-60	451.291
300	1346	20	0	39.9742	2.82436e-67	451.293
330	1376	30	0	40.5319	3.29424e-74	451.294
360	1406	30	0	40.4924	3.76431e-81	451.295
390	1439	34	1	40.7411	4.19844e-88	451.297
420	1457	25	7	41.2507	4.54716e-95	451.298
450	1435	13	35	41.1188	4.79251e-102	451.3
480	1394	16	57	41.7454	4.91299e-109	451.302
510	1315	14	93	41.376	4.90754e-116	451.305
540	1228	15	102	41.0903	4.75876e-123	451.307
570	1113	0	115	41.3413	4.50333e-130	451.31
600	1036	18	95	41.2274	4.15226e-137	451.313
630	1074	94	56	12.2034	3.66605e-144	7.50504
660	1110	68	32	12.6259	3.0715e-151	0.301757
690	1119	21	12	12.8142	2.47308e-158	0.183168
720	1129	16	6	13.0827	1.92545e-165	0.176928
750	1141	14	2	13.6452	1.4503e-172	0.175145
780	1150	14	5	12.8862	1.04854e-179	0.17456
810	1180	32	2	12.958	7.29314e-187	0.171893
840	1204	25	1	13.1948	4.87674e-194	0.158273
870	1234	31	1	13.7321	3.1127e-201	0.116461
900	1272	40	2	14.0764	1.89699e-208	0.0604496
930	1326	55	1	15.0488	1.10097e-215	0.0213552
960	1378	56	4	15.0621	6.08467e-223	0.00700802
990	1424	49	3	15.1843	3.18699e-230	0.00167659
1020	1476	53	1	15.8648	1.58503e-237	0.000300695
1050	1507	34	3	16.04	7.50243e-245	4.87772e-06
1080	1531	25	1	16.0602	3.38113e-252	7.89645e-08
1110	1564	35	2	16.5144	1.44437e-259	1.27833e-09
1140	1588	25	1	16.9867	5.86222e-267	2.06942e-11
1170	1615	29	2	16.9745	2.25297e-274	3.35003e-13
1200	1624	9	0	16.9162	8.27816e-282	5.42307e-15
1230	1652	33	5	16.9585	2.88611e-289	8.77883e-17
1260	1758	107	1	17.7277	9.34884e-297	1.42109e-18
1290	1906	152	4	20.5269	0	2.30041e-20
1320	1970	68	4	19.2249	0	3.72376e-22
1350	2007	37	0	20.1582	0	6.02773e-24
1380	2039	33	1	20.5791	0	9.75711e-26
1410	2064	28	3	20.5661	0	1.57936e-27
1440	2116	55	3	20.6217	0	2.55644e-29
1440.02	2118	3	1	0.456058	0	2.54942e-29
