simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0284507	40016.3	349.226
30	1223	86	0	23.7238	39846.8	453.426
60	1239	16	0	14.5839	39845.9	453.445
90	1250	11	0	14.3803	39857.1	453.484
120	1264	14	0	15.2511	39884.7	453.498
150	1276	12	0	13.132	39913.5	453.498
180	1292	16	0	20.9393	39928.9	453.498
210	1307	15	0	11.2193	39935.7	453.499
240	1323	16	0	11.1999	39939.1	453.501
270	1337	14	0	11.141	39938.1	453.502
300	1361	24	0	11.0785	39935.5	453.504
330	1379	18	0	21.6227	39933	453.505
360	1394	16	1	11.3744	39930.7	453.507
390	1417	23	0	12.0929	39927.8	453.508
420	1441	34	10	11.7874	39924.8	453.51
450	1454	26	13	12.108	39921.1	453.512
480	1444	41	51	21.429	39917	453.514
510	1412	51	83	12.4739	39913.1	453.516
540	1345	64	131	12.7164	39907.9	453.518
570	1241	21	125	12.7331	39904.3	453.52
600	1180	32	93	12.5482	39900.4	453.522
630	1169	35	46	23.2205	39895.6	453.526
660	1193	47	23	13.3165	39890	453.529
690	1203	27	17	13.77	39884.4	453.532
720	1211	10	2	13.6989	39880.2	453.535
750	1221	13	3	13.5032	39875.9	453.539
780	1238	20	3	23.2294	39871.1	453.543
810	1251	14	1	13.6409	39867	453.547
840	1277	27	1	13.6269	39861.1	453.55
870	1301	28	4	14.0661	39855.8	453.554
900	1330	29	0	14.6938	39851.3	453.558
930	1362	33	1	24.687	39846	453.561
960	1399	37	0	15.3161	39840.5	453.564
990	1424	29	4	15.5395	39835.3	453.567
1020	1452	32	4	14.8342	39831.6	453.57
1050	1502	53	3	15.8247	39825.9	453.573
1080	1566	66	2	25.7512	39819.3	453.577
1110	1632	69	3	16.4778	39812.5	453.58
1140	1710	81	3	16.6867	39805.6	453.583
1170	1794	91	7	18.6172	39799	453.587
1200	1876	84	2	38.3758	39791.5	453.591
1230	1928	56	4	117.476	39784.1	453.595
1260	2000	73	1	98.3274	39775.4	453.601
1290	2067	71	4	20.7229	39766.3	453.607
1320	2117	54	4	21.0541	39757.7	453.612
1350	2146	32	3	20.8855	39750	453.618
1380	2170	26	2	31.2521	39741.6	453.625
1410	2200	32	2	21.3079	39733.1	453.633
1440	2225	29	4	95.1608	39723.7	453.64
1440.02	2226	1	0	0.870807	39723.7	453.64
