simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0251834	18999	274.461
30	1228	91	0	22.5977	0.000994473	28.8518
60	1240	12	0	14.1297	5.12626e-11	0.484111
90	1246	6	0	13.4879	2.64152e-18	0.0439171
120	1258	12	0	13.7577	1.423e-25	0.0228652
150	1268	10	0	12.8976	7.7699e-33	0.00765798
180	1290	22	0	13.9654	4.16207e-40	0.00239605
210	1314	24	0	13.7891	2.15418e-47	0.000651752
240	1330	16	0	14.1853	1.07557e-54	6.22711e-05
270	1358	28	0	12.9954	5.14919e-62	3.64435e-05
300	1386	28	0	13.564	2.3639e-69	2.67734e-05
330	1425	39	0	15.9437	1.04158e-76	2.03262e-05
360	1463	39	1	14.9213	4.39743e-84	1.57702e-05
390	1513	51	1	14.5917	1.78498e-91	1.2451e-05
420	1585	75	3	15.1341	6.90983e-99	9.96919e-06
450	1661	78	2	15.886	2.52351e-106	8.07116e-06
480	1751	101	11	17.4747	8.63574e-114	5.51189e-06
510	1841	108	18	17.3744	2.77044e-121	3.40196e-06
540	1901	92	32	18.2912	8.27951e-129	2.04479e-06
570	1954	80	27	18.3403	2.30797e-136	2.02847e-07
600	2004	63	13	19.3251	5.94692e-144	3.28351e-09
630	2069	71	6	29.1378	1.42293e-151	28.9176
660	2144	79	4	20.4436	3.11772e-159	0.482309
690	2190	49	3	20.4448	6.76013e-167	0.0366537
720	2196	9	3	19.3751	1.54335e-174	0.0167692
750	2202	7	1	19.2201	3.51621e-182	0.00744439
780	2209	11	4	19.3926	7.56302e-190	0.001762
810	2227	21	3	18.9178	1.49603e-197	0.000354726
840	2243	19	3	19.3558	2.74065e-205	0.000183696
870	2258	20	5	19.8011	4.67713e-213	2.21573e-05
900	2291	35	2	19.3128	7.44157e-221	1.41253e-05
930	2339	50	2	20.4321	1.12e-228	1.08127e-05
960	2392	58	5	20.0782	1.58915e-236	8.47698e-06
990	2464	74	2	20.9496	2.11178e-244	6.7542e-06
1020	2547	90	7	21.6053	2.62435e-252	5.44999e-06
1050	2626	111	32	22.0097	3.02108e-260	3.36498e-06
1080	2779	174	21	23.3256	3.18236e-268	1.61637e-06
1110	2938	181	22	25.3374	3.03269e-276	7.62702e-07
1140	3115	190	13	26.4259	2.57277e-284	1.23425e-08
1170	3272	170	13	28.2893	1.9402e-292	1.99747e-10
1200	3447	185	10	29.7492	1.29663e-300	3.23257e-12
1230	3564	120	3	40.3853	0	28.9134
1260	3682	119	1	31.0644	0	0.485897
1290	3757	78	3	32.4907	0	0.0445493
1320	3782	29	4	30.6888	0	0.0216653
1350	3784	9	7	30.0766	0	0.00872783
1380	3781	7	10	30.0005	0	0.00303884
1410	3783	7	5	29.6073	0	0.00110198
1440	3798	20	5	29.5923	0	9.94586e-05
1440.02	3797	0	1	1.37805	0	9.93529e-05
