simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	948	948	0	0.0241126	18999	274.461
30	1193	245	0	41.2036	0.000936019	451.218
60	1206	13	0	40.6299	4.55168e-11	451.242
90	1221	15	0	40.5881	2.36666e-18	451.278
120	1239	18	0	39.9206	1.51086e-25	451.292
150	1254	15	0	38.8746	1.25418e-32	451.291
180	1269	15	0	37.9595	1.27981e-39	451.29
210	1292	23	0	37.6081	1.44925e-46	451.29
240	1311	19	0	37.243	1.69673e-53	451.291
270	1331	20	0	37.3556	1.99632e-60	451.292
300	1358	27	0	37.3637	2.34129e-67	451.293
330	1384	26	0	37.4786	2.67958e-74	451.295
360	1416	32	0	37.4561	2.98029e-81	451.297
390	1442	26	0	37.8817	3.2396e-88	451.298
420	1450	19	11	38.2605	3.42489e-95	451.3
450	1445	24	29	38.1246	3.50619e-102	451.302
480	1394	15	66	38.7075	3.4905e-109	451.304
510	1327	14	81	38.1827	3.37347e-116	451.307
540	1245	13	95	38.2984	3.16351e-123	451.309
570	1140	1	106	38.0692	2.89525e-130	451.311
600	1060	13	93	38.0288	2.5917e-137	451.314
630	1072	75	63	38.1464	2.23522e-144	451.317
660	1128	89	33	38.5038	1.83852e-151	451.318
690	1136	26	18	39.0982	1.4501e-158	451.319
720	1144	13	5	39.3611	1.11273e-165	451.322
750	1160	21	5	39.566	8.23361e-173	451.326
780	1170	11	1	39.4519	5.85107e-180	451.33
810	1203	35	2	39.5321	3.9905e-187	451.334
840	1242	42	3	39.0951	2.57928e-194	451.337
870	1269	27	0	40.2389	1.58667e-201	451.34
900	1301	32	0	40.3957	9.30991e-209	451.344
930	1352	52	1	41.3333	5.19681e-216	451.347
960	1414	62	0	41.0605	2.74746e-223	451.351
990	1464	51	1	41.6491	1.37915e-230	451.354
1020	1502	41	3	41.6589	6.61008e-238	451.358
1050	1536	36	2	42.8279	3.00567e-245	451.362
1080	1570	38	4	42.787	1.29651e-252	451.366
1110	1602	32	0	42.8891	5.30695e-260	451.37
1140	1625	25	2	43.4031	2.05505e-267	451.375
1170	1650	25	0	43.1918	7.60309e-275	451.38
1200	1663	13	0	42.9294	2.67353e-282	451.385
1230	1679	18	2	43.3599	8.89538e-290	451.39
1260	1795	117	1	43.8588	2.78413e-297	451.395
1290	1946	152	1	45.2847	0	451.398
1320	2035	90	1	46.3219	0	451.4
1350	2059	26	2	46.8441	0	451.404
1380	2092	34	1	47.5173	0	451.41
1410	2123	32	1	46.7835	0	451.417
1440	2165	47	5	47.4005	0	451.424
1440.02	2169	4	0	0.856977	0	451.424
