simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.426756	18999	274.461
30	1225	88	0	51.1387	0.000997936	451.218
60	1239	14	0	91.2385	5.18938e-11	451.235
90	1248	9	0	115.765	2.77759e-18	451.274
120	1264	16	0	65.5789	1.76203e-25	451.287
150	1279	15	0	112.87	1.44669e-32	451.287
180	1298	19	0	150.706	1.45668e-39	451.288
210	1315	17	0	38.067	1.64931e-46	451.288
240	1329	14	0	128.812	1.94378e-53	451.29
270	1346	17	0	63.3011	2.28979e-60	451.291
300	1366	20	0	69.5638	2.67407e-67	451.293
330	1385	19	0	79.3795	3.07752e-74	451.294
360	1407	23	1	54.2736	3.48388e-81	451.295
390	1439	33	1	106.086	3.85073e-88	451.297
420	1461	28	6	38.3118	4.1468e-95	451.299
450	1466	28	23	46.9591	4.3485e-102	451.3
480	1438	35	63	244.406	4.4403e-109	451.302
510	1418	54	74	43.5399	4.39151e-116	451.303
540	1335	41	124	73.9598	4.18981e-123	451.305
570	1223	28	140	40.7539	3.85495e-130	451.308
600	1157	25	91	39.4886	3.42705e-137	451.311
630	1131	27	53	40.3926	2.91718e-144	451.314
660	1151	43	23	39.8763	2.37922e-151	451.317
690	1160	19	10	40.1756	1.85673e-158	451.32
720	1163	11	8	40.2275	1.40118e-165	451.323
750	1163	8	8	40.0958	1.02444e-172	451.327
780	1177	17	3	39.9354	7.21709e-180	451.331
810	1193	17	1	40.8761	4.90035e-187	451.334
840	1222	32	3	40.464	3.1972e-194	451.338
870	1245	28	5	43.3334	1.99749e-201	451.341
900	1269	28	4	41.1773	1.19516e-208	451.344
930	1302	34	1	41.3463	6.87583e-216	451.346
960	1336	37	3	41.368	3.7784e-223	451.349
990	1362	29	3	41.5203	2.0031e-230	451.353
1020	1419	59	2	42.3907	1.01701e-237	451.356
1050	1461	43	1	42.7363	4.93957e-245	451.359
1080	1519	60	2	49.6047	2.27759e-252	451.362
1110	1570	57	6	108.715	9.94521e-260	451.365
1140	1647	82	5	44.1257	4.12421e-267	451.369
1170	1740	96	3	45.1024	1.61692e-274	451.373
1200	1799	60	1	45.5439	5.95198e-282	451.376
1230	1855	57	1	68.048	2.06305e-289	451.38
1260	1910	56	1	117.257	6.65938e-297	451.386
1290	1972	65	3	78.8875	0	451.391
1320	2019	50	3	48.597	0	451.398
1350	2034	20	5	58.6273	0	451.404
1380	2043	16	7	116.661	0	451.411
1410	2073	31	1	48.3941	0	451.418
1440	2107	35	1	48.0533	0	451.426
1440.02	2112	5	0	0.856263	0	451.426
